tenure_months,monthly_charges,total_charges,internet_service,contract_type,payment_method,support_tickets,customer_churn
19,95.72337795152217,1227.0410869456555,DSL,Month-to-month,Electronic,4,Yes
67,100.25562474335746,5902.681766017692,Fiber,Two year,Electronic,1,No
19,115.95066403722745,2839.3063400066912,No,Month-to-month,Bank transfer,2,Yes
20,50.52426025288962,1956.1791298329617,DSL,One year,Credit card,1,No
71,84.41686322232242,5762.549279459193,DSL,One year,Electronic,1,No
52,58.8902989420811,3039.310541029645,DSL,Two year,Electronic,1,No
33,44.993230381622,911.4442453330742,DSL,Two year,Bank transfer,2,No
40,49.31379036758902,1975.2978898252577,No,Month-to-month,Credit card,1,No
39,84.84866552684576,3071.2453236813863,Fiber,Two year,Mailed check,2,No
1,82.54757664358002,31.48335662608035,Fiber,Month-to-month,Mailed check,3,Yes
11,82.0123608771531,1106.7651634473054,Fiber,One year,Bank transfer,4,Yes
57,63.228590572920005,3054.956923641017,DSL,One year,Electronic,2,No
50,70.10244253535231,3324.2164571513317,Fiber,One year,Electronic,2,No
23,94.53258087628149,1272.3586492653853,Fiber,Month-to-month,Bank transfer,3,No
31,25.318208210520815,607.3708124695013,Fiber,Two year,Bank transfer,3,No
42,70.73926295285753,2924.332008561517,No,Month-to-month,Bank transfer,2,No
7,72.6986844438037,623.382003637165,Fiber,Month-to-month,Bank transfer,3,Yes
16,92.59912807232948,1601.374319338876,DSL,One year,Bank transfer,1,No
60,29.492547641715248,2221.514233871343,No,Month-to-month,Electronic,4,No
2,114.85401236552235,-540.1252349056152,DSL,Two year,Mailed check,0,Yes
1,76.4089127328553,-666.7296022422915,DSL,Month-to-month,Electronic,5,No
48,77.9974164008481,4008.354955436969,DSL,Month-to-month,Electronic,2,No
12,57.958607280033206,-323.97735114230954,DSL,Two year,Bank transfer,1,No
69,86.14067064390531,6035.356380481963,Fiber,One year,Credit card,1,No
37,71.43862150849317,2053.0825260193005,Fiber,Month-to-month,Credit card,1,No
32,106.26945832319397,4187.029986800798,No,One year,Bank transfer,2,Yes
9,26.755172558091544,366.0227568867126,Fiber,One year,Electronic,1,Yes
19,75.26637489671523,1320.4831131810586,Fiber,One year,Electronic,4,No
48,82.25537045132279,4562.118220233083,DSL,Month-to-month,Credit card,3,No
3,64.40882816910725,-338.47451877815365,DSL,Two year,Bank transfer,0,Yes
20,57.860025300788614,720.4956889718682,Fiber,Two year,Bank transfer,2,No
24,59.11128163093878,787.9433423149761,Fiber,One year,Bank transfer,0,No
54,75.23917808103484,3630.3960032013847,No,Month-to-month,Bank transfer,0,No
33,15.701232970578822,548.6984927127951,DSL,Two year,Credit card,2,Yes
24,98.95044883189689,2621.7867079623857,DSL,One year,Electronic,3,No
36,55.59604396912448,2482.1684255722525,Fiber,One year,Bank transfer,2,No
38,73.83408092100348,1893.3330515477624,DSL,Month-to-month,Credit card,2,No
25,81.01306800364202,1939.3952068594047,DSL,Two year,Electronic,1,No
18,54.22583838061129,421.9828252556025,Fiber,One year,Bank transfer,0,No
66,66.06884779003012,4257.900408397938,DSL,Month-to-month,Mailed check,2,Yes
54,8.942792781234886,1649.9926002502039,Fiber,Month-to-month,Credit card,3,No
35,91.96370821999216,3364.660668699733,DSL,Two year,Electronic,3,No
61,102.40207000966494,6696.258756163684,DSL,Month-to-month,Bank transfer,3,Yes
41,18.970193441837395,1758.1235671958566,DSL,Two year,Electronic,3,No
33,57.805213699112144,2471.25117365808,No,One year,Bank transfer,0,No
68,33.10391865277556,2027.1092285452457,DSL,One year,Electronic,1,No
33,64.66779035537782,1496.121038442499,Fiber,Month-to-month,Electronic,2,No
14,89.45909004162883,1237.355125822378,DSL,Month-to-month,Mailed check,1,Yes
21,99.61926697769876,1808.151714422331,Fiber,Two year,Credit card,4,No
48,103.65559568280545,4213.207949465074,DSL,Month-to-month,Electronic,0,No
20,109.31631474076639,2306.788793460062,Fiber,One year,Electronic,1,Yes
8,63.32761664633303,639.5640822003306,Fiber,Month-to-month,Bank transfer,4,Yes
7,35.591241137996825,1133.697038097621,No,Month-to-month,Mailed check,1,Yes
67,66.56229099076094,4278.791961962576,DSL,Month-to-month,Credit card,2,No
17,88.99802506910729,1653.0271206595485,DSL,One year,Electronic,4,No
33,33.18220657237428,762.2701095432435,DSL,Two year,Bank transfer,2,No
48,119.80410860344726,6187.181928312201,No,Month-to-month,Electronic,3,Yes
59,96.93665616281025,5656.953815510739,Fiber,Month-to-month,Electronic,1,No
22,63.80298494706013,817.3698644089517,Fiber,Month-to-month,Bank transfer,2,No
30,48.67384208766276,1453.479351797304,DSL,One year,Bank transfer,1,No
38,49.92636756662071,2092.4634163140877,DSL,Month-to-month,Bank transfer,3,No
51,72.22618641400466,3811.172200821019,DSL,Two year,Mailed check,3,No
54,63.11792191808943,3931.3161413247635,No,One year,Mailed check,1,No
8,98.51508265847875,64.09247524748514,Fiber,One year,Mailed check,3,Yes
27,59.71072515092113,1190.8182840673996,No,Month-to-month,Credit card,3,No
27,85.16505431834473,2619.350132493076,DSL,Two year,Electronic,3,No
21,69.1322534747539,1089.1428339892962,Fiber,Month-to-month,Electronic,2,No
30,78.09008072191213,2462.9380463224675,Fiber,Month-to-month,Mailed check,0,No
28,63.09830693210852,556.8799703931572,DSL,One year,Bank transfer,4,No
64,91.23146623748862,7196.787125355713,No,One year,Electronic,1,No
69,91.67620240870231,6190.798700421791,No,Month-to-month,Credit card,2,No
61,83.79787077466433,5708.648247248663,No,Month-to-month,Electronic,2,No
48,88.22542981448512,4066.371718303541,Fiber,One year,Credit card,1,No
19,41.66893667370842,999.0590611659034,DSL,Month-to-month,Electronic,2,No
4,79.69737288726938,1064.7493147217137,DSL,Two year,Bank transfer,6,Yes
35,107.476053024626,4344.564865466103,No,One year,Credit card,0,No
64,84.74213701058493,5321.269278834823,DSL,Month-to-month,Electronic,4,No
49,39.0784749159543,1847.2181081849146,Fiber,Month-to-month,Credit card,2,No
17,68.50700471052745,1666.4023601706094,Fiber,Month-to-month,Mailed check,1,No
44,81.24933815019126,4741.593080751066,Fiber,One year,Credit card,2,No
30,47.278014493050726,1514.4817719910425,No,One year,Bank transfer,4,No
46,29.25186409829942,2324.1175687925943,DSL,Month-to-month,Mailed check,1,No
6,60.51706394690419,242.39517847132205,DSL,One year,Electronic,2,Yes
37,47.775027760968925,2243.656208910751,DSL,Two year,Mailed check,2,No
24,69.57132905830093,2220.2897785228656,Fiber,Month-to-month,Electronic,5,No
46,22.25786057511135,818.8813345287355,DSL,Two year,Electronic,1,No
53,86.94103187608468,4234.335649781667,DSL,Month-to-month,Electronic,0,No
60,50.96184894119929,3630.405530745634,No,Month-to-month,Mailed check,2,No
63,99.87256710044068,6026.193258706235,No,Month-to-month,Bank transfer,1,No
32,61.693034806108656,1527.0021574577756,DSL,Month-to-month,Electronic,0,No
33,69.23832860846538,1942.8850931798092,DSL,Month-to-month,Electronic,1,No
67,64.80895363909246,4074.3932246064896,No,Month-to-month,Bank transfer,1,No
18,49.35520929699182,1316.7023196586915,DSL,Two year,Electronic,2,No
25,144.1683838681798,3861.730933342589,DSL,Two year,Electronic,2,Yes
54,55.12401465978146,3334.5259140071444,DSL,One year,Electronic,2,No
58,100.7056456739698,6051.617354639289,Fiber,Month-to-month,Credit card,0,Yes
67,37.19113161809815,2194.885737289256,DSL,Month-to-month,Credit card,3,No
46,81.16394173279483,4082.092747662698,No,Month-to-month,Mailed check,1,No
24,84.36616491795507,2616.014871333574,Fiber,One year,Bank transfer,1,No
32,69.27469068705611,2509.04171004545,Fiber,Two year,Mailed check,3,No
47,52.8698584108128,2709.711298621127,DSL,Month-to-month,Bank transfer,1,No
23,62.10034292158108,1044.7806339110266,Fiber,Month-to-month,Bank transfer,0,Yes
66,57.90131494080639,3927.3953255804604,Fiber,One year,Bank transfer,1,No
27,142.0607884550637,3425.5206235623687,Fiber,Month-to-month,Electronic,2,Yes
2,69.32190731665541,126.62988559300885,Fiber,Month-to-month,Electronic,2,Yes
17,85.74666335991851,637.5599575059567,Fiber,One year,Mailed check,1,No
33,123.448752712761,3257.5296380250666,No,One year,Credit card,1,No
9,43.710439960774565,297.87011467345616,No,Month-to-month,Bank transfer,4,Yes
43,71.12980699503814,2784.361864873145,Fiber,Month-to-month,Credit card,3,No
48,61.92441604955833,3025.765567115887,DSL,Two year,Credit card,0,No
39,67.41584663549908,2561.833729226905,DSL,Month-to-month,Electronic,1,No
42,64.62964098647544,2729.5403150370457,DSL,Month-to-month,Bank transfer,3,No
26,48.04368743109349,1553.4395943868008,Fiber,Month-to-month,Bank transfer,3,No
50,75.86230854989898,3561.480949664533,Fiber,Month-to-month,Credit card,1,No
25,38.121016677516955,843.3035111154924,Fiber,Month-to-month,Credit card,2,No
24,99.66648211927054,3119.506182244075,No,Two year,Bank transfer,3,No
13,88.69929419963812,1154.632888007809,No,Month-to-month,Electronic,1,No
60,55.196115509079526,3222.161693232077,No,Month-to-month,Bank transfer,0,No
7,56.650500358784214,437.8098521730842,DSL,One year,Electronic,2,Yes
57,78.26531687044759,4380.440875110748,Fiber,One year,Bank transfer,3,No
36,46.043640531814525,1302.7849126687106,DSL,Two year,Credit card,2,No
45,124.35940372404615,5097.158248992217,DSL,Two year,Mailed check,3,No
20,80.73777186075306,1233.0397671400588,DSL,Month-to-month,Bank transfer,0,No
65,81.79789454151033,5753.322738583565,DSL,One year,Mailed check,2,No
8,90.44335241071857,408.59419192654246,Fiber,Month-to-month,Mailed check,4,Yes
16,52.616101777897896,764.3953275282281,No,Two year,Mailed check,4,No
14,102.67029945354321,1787.7523349160538,DSL,Month-to-month,Bank transfer,2,Yes
15,73.43600098646392,962.3444293914696,Fiber,Two year,Credit card,2,No
66,98.50436412996496,6817.968689999513,Fiber,One year,Credit card,1,No
32,64.06140620295008,1279.568477278969,DSL,Month-to-month,Electronic,1,No
63,109.51834680193556,6833.397508750992,Fiber,One year,Credit card,0,Yes
51,82.0403088107437,4223.503797647182,DSL,Two year,Bank transfer,2,No
25,135.47521072531262,3398.4496296818998,Fiber,Two year,Electronic,0,Yes
58,58.9143514953331,2590.573037809878,Fiber,Month-to-month,Electronic,1,Yes
63,76.13648188272236,5398.154681826911,DSL,One year,Electronic,3,No
62,39.052712593895265,1993.9317083357982,DSL,Month-to-month,Credit card,0,No
22,54.12105287361341,1358.1817258507288,Fiber,Month-to-month,Bank transfer,2,No
58,88.56059643543716,5140.49673457902,No,Month-to-month,Bank transfer,1,No
58,103.87973312618502,6526.87928322407,DSL,Month-to-month,Electronic,2,Yes
49,158.95031055162167,8882.309631716565,Fiber,Two year,Bank transfer,0,Yes
52,67.10113280130338,2844.0766633963576,Fiber,Month-to-month,Electronic,2,No
42,42.00359777063207,1439.6941657302973,No,Two year,Mailed check,1,No
70,92.59977281131724,6576.530343711733,No,Month-to-month,Bank transfer,3,No
15,36.16518338496082,-10.198908001983568,Fiber,Month-to-month,Electronic,3,No
54,86.9283216408021,5085.220672581193,Fiber,Month-to-month,Credit card,2,No
60,54.932328514176284,3717.626021929106,No,Month-to-month,Electronic,2,Yes
8,76.3478491114118,890.5073308888129,DSL,Month-to-month,Bank transfer,2,Yes
53,102.73138306494002,5563.05417787992,DSL,Month-to-month,Mailed check,0,Yes
60,66.67799712757912,4685.534216639638,DSL,One year,Bank transfer,2,No
5,97.98637252985864,-87.88087818513782,No,Month-to-month,Electronic,2,Yes
68,96.19475645857446,6573.877536854339,No,Month-to-month,Electronic,1,No
6,14.07005415072716,-284.9811094607479,DSL,Month-to-month,Credit card,3,Yes
47,42.95197761893283,2463.701114372427,Fiber,Two year,Electronic,1,No
55,23.14579415813585,356.3480964442555,Fiber,Two year,Credit card,1,No
40,130.05211307590406,5188.042590239673,DSL,Month-to-month,Credit card,2,Yes
52,66.8382422368802,3643.207939852745,No,Month-to-month,Electronic,1,Yes
16,123.42487638899928,1501.0519547371014,DSL,Month-to-month,Electronic,1,Yes
13,21.011431583740496,-39.946405522156795,DSL,Two year,Bank transfer,0,No
30,52.81694726354422,1592.1979085923795,Fiber,Month-to-month,Credit card,3,Yes
19,94.01494725297917,2263.8321875273423,Fiber,Month-to-month,Credit card,2,No
17,75.37823813280052,764.9954339640819,DSL,Month-to-month,Mailed check,2,No
63,85.98579678440376,4987.8802272300945,Fiber,Month-to-month,Bank transfer,4,Yes
19,32.38575298620229,1178.1231922580155,Fiber,Month-to-month,Electronic,1,No
58,111.30410478636789,6319.15037764942,DSL,One year,Credit card,3,Yes
55,93.31048287271867,4743.307038077038,DSL,Month-to-month,Credit card,2,No
62,82.0487651647442,5451.365838822599,Fiber,One year,Electronic,2,No
23,49.43169156754577,892.8304074374294,DSL,Month-to-month,Electronic,1,Yes
9,79.71400382817836,1231.1368021229923,No,Month-to-month,Electronic,3,Yes
12,61.25530063019529,403.20341907248746,No,Two year,Electronic,1,No
1,20.485263698867143,-59.312017213630824,No,Month-to-month,Credit card,2,Yes
58,68.48731444835536,4444.750070698977,DSL,Two year,Mailed check,1,No
1,65.29808805332422,-47.83234753355154,No,One year,Electronic,3,No
34,101.8720452962536,3841.676201111946,Fiber,Month-to-month,Mailed check,3,Yes
48,2.9672067305739205,109.65211967704573,DSL,Two year,Credit card,1,No
1,77.05599486564103,1067.9018980656556,DSL,Month-to-month,Bank transfer,2,Yes
16,35.33295855682848,1349.71663896068,DSL,Two year,Mailed check,0,Yes
61,79.57670026586639,4190.130585000976,Fiber,Month-to-month,Electronic,2,No
64,81.22840166731918,5459.739547332432,Fiber,Two year,Credit card,2,No
63,67.39465668609425,3837.6613781734172,DSL,Month-to-month,Credit card,0,Yes
69,94.21879374433253,6596.8502377553095,Fiber,One year,Electronic,3,No
22,32.62701822700903,751.9797156493291,DSL,One year,Electronic,4,No
67,103.231613508451,6388.824596519974,Fiber,Two year,Electronic,0,No
