age,annual_income,credit_score,years_employed,education_level,employment_type,requested_loan_amount
43,4440.991643788853,428,19,Bachelor,Full-time,47453.76283593635
42,65949.68408956629,560,26,PhD,Full-time,66845.56247459087
77,52904.08120570916,814,17,High School,Unemployed,77390.52611987987
77,85903.29113277927,748,3,Bachelor,Full-time,65905.45333134923
77,48509.84706937655,403,0,Bachelor,Full-time,31948.04510312172
62,61326.802610380444,782,0,Bachelor,Part-time,58338.11748577678
58,66636.36352210525,523,25,Master,Full-time,75866.96672968898
46,15076.768826776177,790,19,PhD,Full-time,65527.18860305391
32,102333.99893203186,772,22,Master,Full-time,86907.83067289926
62,41384.152241547665,309,9,Master,Part-time,40577.5402404274
18,59891.332042849695,704,10,High School,Full-time,59979.46190247509
42,62811.64013898303,601,4,High School,Self-employed,53976.907636516335
24,33704.31744019405,530,0,PhD,Part-time,35094.54489467254
26,86939.60662895205,365,16,High School,Full-time,59237.55073000748
41,55319.105387088646,411,21,Master,Full-time,61976.94649132914
18,45730.547261853324,312,33,Master,Full-time,57118.19557947651
61,52770.15924776885,692,28,Bachelor,Part-time,88157.02314571533
25,65285.043972180465,799,3,PhD,Full-time,53430.08284518166
41,50215.963296194,533,4,Bachelor,Full-time,42726.45057258391
28,67638.59820766479,613,10,Bachelor,Full-time,62792.638912008144
68,16302.557220645213,311,20,High School,Unemployed,43362.33799837011
34,35040.600203470196,508,34,Bachelor,Full-time,69409.80145818253
25,7223.993703813692,313,11,High School,Self-employed,28530.244596136396
52,89940.16313685892,717,25,Bachelor,Full-time,89884.79936769576
52,89679.84255369869,736,18,Master,Full-time,80548.6053788212
50,62532.321350659695,676,6,PhD,Full-time,65525.60269487244
76,29747.63858173937,319,6,High School,Full-time,35071.037145679824
22,97797.56544436648,369,25,Bachelor,Full-time,77153.39138833812
59,37911.71043736576,510,39,PhD,Full-time,71042.72951435765
56,45735.85746189672,400,4,High School,Self-employed,37323.8151165405
75,53190.66811461445,431,20,High School,Self-employed,56004.87069078081
58,59030.31884037939,680,13,High School,Part-time,59681.08877366649
45,62876.052034086366,431,3,Bachelor,Full-time,45213.63652995475
24,63679.23274948902,319,22,High School,Full-time,54365.54103594762
26,47109.51829292191,835,19,PhD,Full-time,78159.87463712775
25,63362.019035134246,526,14,Bachelor,Part-time,53957.647896068615
29,46215.846810086456,453,28,Bachelor,Self-employed,73109.95710723504
51,61586.06873744441,768,7,High School,Full-time,59394.15732827301
50,59945.8355566155,704,18,Bachelor,Full-time,72280.26235298683
65,65256.94581596242,501,38,Bachelor,Full-time,86586.38029672905
72,62759.33398041931,337,27,Master,Full-time,59824.59804312523
40,41151.352501774054,487,26,Master,Full-time,66957.74896769697
79,59174.203431180256,356,3,Bachelor,Part-time,32406.343040351996
41,63067.994758297726,319,14,PhD,Part-time,56130.98692340212
54,24177.51222102588,572,34,Master,Full-time,69923.99999113656
52,44519.11285537941,418,36,Master,Full-time,67273.67681676942
61,62162.27782436667,815,0,High School,Unemployed,57902.77448517283
57,84185.84989459244,520,2,High School,Full-time,57300.35131534133
39,66498.00372257468,825,23,High School,Full-time,81277.12465752022
44,85447.55973955191,814,26,Bachelor,Full-time,88587.47947475169
52,42032.53219646103,635,39,Bachelor,Full-time,82252.07667101962
18,55003.80984495286,354,35,Bachelor,Full-time,63316.33238963602
52,66114.70599052237,799,33,Master,Self-employed,101887.13133686579
54,3472.9657300044637,835,28,Master,Full-time,67959.91676292772
64,80216.06436229052,461,23,PhD,Full-time,74272.90323958917
31,12781.802382907073,458,23,Bachelor,Part-time,50781.891133110985
20,69938.80136556807,487,3,Bachelor,Full-time,43408.970157260585
18,63736.635810852924,359,2,High School,Self-employed,39041.21719719223
22,3208.139949702272,618,33,High School,Self-employed,68782.45588146441
43,4218.7748613400545,510,22,High School,Full-time,47824.32578297049
72,78649.63834905012,705,22,Bachelor,Part-time,86810.45623397018
31,74294.44119373096,408,4,Bachelor,Full-time,51795.90932202861
56,32382.727110234784,375,30,Master,Unemployed,63059.39240636209
44,32362.422099118714,841,5,High School,Full-time,54460.44276837062
26,60252.099447524415,613,36,Master,Unemployed,79326.41759534989
32,49745.11699023264,416,9,Bachelor,Part-time,41655.59707025582
32,71087.90431698228,318,39,High School,Full-time,77207.57599842828
43,59591.618488661734,731,6,Bachelor,Full-time,63156.419114260294
59,81660.6158791307,649,38,High School,Unemployed,84090.32773993697
77,69401.55555827453,482,37,Bachelor,Self-employed,81879.9006594236
30,64415.46098281155,412,20,Bachelor,Full-time,60715.08442145938
68,42957.50559392652,482,19,High School,Part-time,54599.530396600196
49,41493.575316763105,780,2,High School,Full-time,59904.44179010833
56,48964.82030589398,445,21,Bachelor,Full-time,60048.34646302255
66,86818.86139874416,412,3,PhD,Full-time,56196.617960027725
69,41874.505412204315,775,27,Bachelor,Full-time,77232.54902191013
78,55210.579741480324,602,11,Master,Self-employed,62350.56138497872
49,5103.941845853813,417,37,Bachelor,Full-time,67556.51452639374
21,63516.17460088161,460,35,PhD,Self-employed,83613.31962662778
47,95143.9656218628,700,4,Master,Full-time,62082.48171941517
54,31327.237814741504,497,12,Bachelor,Full-time,44979.790956710545
40,113488.84274253517,559,22,Bachelor,Full-time,82270.82929551156
56,53644.81209313307,346,29,Master,Full-time,64839.71630332156
62,-1458.6248276868864,698,36,Bachelor,Full-time,73894.18032676661
32,42289.23520064178,377,24,Bachelor,Full-time,51342.30719006385
60,76608.77126538166,423,26,High School,Full-time,70471.82394919918
46,89986.34412499607,374,13,Master,Full-time,48596.26657671813
53,64361.97096503367,436,35,Master,Full-time,83318.31631851956
30,81351.88841757935,699,38,High School,Full-time,94793.69532189034
49,26444.289170152933,804,15,Bachelor,Self-employed,63412.606450268366
24,36394.76825612184,799,21,Bachelor,Self-employed,70320.18190689625
76,16410.81435996419,437,20,High School,Full-time,52503.38218305633
68,37898.738480161934,349,20,PhD,Full-time,34632.08933706169
39,65238.37972871333,553,7,High School,Full-time,54138.462206984455
45,54253.11524766038,725,15,High School,Unemployed,66996.84078680963
19,67356.98073326364,846,30,Bachelor,Full-time,90238.91228202067
59,31269.719650065268,601,9,Master,Full-time,57062.04862319774
62,32489.499463762666,648,31,High School,Full-time,68710.20254484995
79,54092.204190498254,348,33,Bachelor,Full-time,70486.64214332779
74,37947.04389389369,373,8,Bachelor,Full-time,39815.37711169852
70,76036.9833632019,560,16,High School,Part-time,73118.69127163815
23,37451.62231245046,655,10,High School,Full-time,50649.541269847614
45,40092.21514137506,559,31,Bachelor,Part-time,67312.82004679373
45,58376.788277369735,594,9,High School,Full-time,61693.386020597914
61,42214.236165450144,612,21,PhD,Full-time,66390.8773912856
61,25301.11212925173,481,16,Master,Self-employed,39915.646905391724
37,28012.883503358225,663,3,PhD,Full-time,41857.33997869111
47,60755.31916813911,487,24,High School,Self-employed,68508.50901968204
79,22825.769708758795,842,20,PhD,Full-time,73136.55202036058
28,77943.28855097623,847,36,Bachelor,Full-time,98336.8332993281
75,36192.014313965,707,37,Bachelor,Unemployed,68636.32434510479
72,62324.31633936122,713,0,High School,Full-time,56963.41083049353
45,37391.74751940732,641,24,High School,Self-employed,61165.92080610232
42,31695.172400072697,519,35,Bachelor,Full-time,60371.85772940976
56,54922.07364580364,462,16,Bachelor,Self-employed,41414.99246882039
79,71035.66934031801,519,23,High School,Full-time,74330.60510308412
50,45052.64498279791,569,1,Bachelor,Full-time,43608.880746864204
18,48690.4529248508,699,39,High School,Part-time,87428.85397389397
74,66148.34722165602,481,14,Bachelor,Self-employed,64839.62598131061
44,66810.54500503113,504,31,Bachelor,Self-employed,79429.7869166247
79,49230.16559960518,527,38,Master,Self-employed,87200.54989349113
74,41130.40215029422,549,5,Master,Self-employed,37825.443284253284
69,51653.11918890064,740,0,Bachelor,Full-time,52323.182636900376
30,46181.77017223314,832,22,Bachelor,Full-time,69370.96417692986
58,56259.483036337035,495,38,Bachelor,Full-time,78480.93325162378
20,26114.591463084947,818,16,Master,Full-time,63491.298170092094
56,55543.63158717493,369,33,Bachelor,Full-time,71246.15766246784
23,35633.93167658502,698,28,High School,Full-time,73817.99890868501
25,68117.75222981005,502,8,High School,Full-time,56652.36136034259
44,36550.64301258969,447,12,Bachelor,Part-time,48832.39356947138
26,36897.80465618136,771,5,Bachelor,Full-time,65393.984783770116
79,58907.97648823481,498,5,Master,Full-time,45995.90967003982
54,50284.23777632394,725,19,High School,Full-time,65630.15782956529
50,95533.03252797676,791,2,Bachelor,Part-time,71440.32783497508
68,17413.947788914953,441,16,Master,Part-time,39262.78420097677
59,52197.05893909489,612,11,Master,Part-time,64668.92152391114
61,72592.98969944741,464,0,Bachelor,Full-time,43561.80671510806
41,38433.72154145398,613,16,Bachelor,Full-time,55352.23462306624
32,31788.8431052024,320,2,Bachelor,Full-time,25180.07432580513
76,32582.70704707343,381,25,PhD,Full-time,57416.89923148024
71,17760.77640699831,430,14,High School,Full-time,40039.49800594207
49,76994.0925462139,604,35,PhD,Full-time,85089.89366321225
49,43407.65316387184,670,31,Bachelor,Full-time,85849.0555372792
41,41039.45720399539,683,31,Bachelor,Unemployed,73180.98795788985
58,7518.038513396525,744,3,High School,Unemployed,42633.24192418393
69,21325.828550762304,724,17,Bachelor,Full-time,62859.27932327984
66,79307.79511038188,460,18,Bachelor,Full-time,56635.66298102919
79,56062.11332201157,477,34,High School,Full-time,77069.9365036331
66,73330.01659850212,789,39,Bachelor,Full-time,95173.46660214839
75,70799.8487965966,626,13,PhD,Self-employed,69653.86854314899
69,29987.59438854119,588,32,Bachelor,Full-time,65583.02325696747
29,98596.95457307938,653,13,Master,Part-time,78692.93153116811
79,88994.6519120246,327,33,High School,Full-time,81577.56090508094
56,38724.6711575393,342,3,Bachelor,Unemployed,36024.58397542581
19,-21364.105987197647,722,23,High School,Full-time,53947.35144503122
20,42869.35820111847,476,28,Bachelor,Part-time,63504.30274568705
66,54765.92524242897,828,18,PhD,Full-time,72947.67969105448
54,38645.61930448619,793,5,Bachelor,Part-time,63598.85924543137
66,45569.55806630566,497,32,High School,Full-time,67023.39131905348
73,33426.83927324411,816,39,Bachelor,Full-time,84642.72141412325
34,68432.69436707695,813,18,Bachelor,Self-employed,82506.65298528723
76,51272.664807371104,321,0,Bachelor,Self-employed,27451.11542627885
66,69030.28125885908,411,4,Master,Self-employed,40508.76689032709
19,74444.06692415875,356,26,Master,Part-time,58915.1987663988
19,6513.528718267058,365,15,Bachelor,Self-employed,32789.50941817753
45,34589.55578331794,397,5,Bachelor,Full-time,34813.29161551292
71,37519.41412718913,443,39,High School,Full-time,73621.28287646023
40,101427.44719377566,734,12,High School,Full-time,83884.7653796301
54,52980.107338006484,385,34,Bachelor,Part-time,71778.52181973092
49,66251.21192726129,643,18,Bachelor,Full-time,69071.00248041248
50,12386.164614509777,593,11,Bachelor,Full-time,43374.87100245434
18,52864.30904995043,542,15,Bachelor,Full-time,60510.08005956105
36,69565.85964232514,331,9,High School,Self-employed,52782.60870734039
79,67239.30170120312,690,24,Bachelor,Full-time,79303.36150777694
19,62467.98877832703,576,19,High School,Full-time,64194.742362446064
70,50260.01012990251,831,30,High School,Full-time,81663.67303354303
61,51231.37241250902,453,3,Master,Full-time,33793.38540169158
43,16134.676505804207,682,22,High School,Full-time,64271.75131195888
49,31989.342296257128,367,1,Bachelor,Part-time,31836.695307074922
23,54618.87912776327,513,21,High School,Part-time,65922.48136386229
49,35680.48386147589,675,36,Master,Part-time,79810.84792668249
72,63776.764940655696,512,7,Bachelor,Full-time,58767.70321165546
21,59335.651005297244,378,6,High School,Self-employed,40280.10282866509
72,77347.40509443988,680,13,Bachelor,Full-time,74980.567714368
28,69165.07652305142,357,2,Master,Full-time,40405.80848196771
73,54545.22818269136,325,15,PhD,Self-employed,44571.814631410714
76,64959.608681238315,746,18,High School,Full-time,77750.5341409603
34,70102.04324599312,365,17,Master,Full-time,58328.7935672179
55,39851.25428184035,553,15,PhD,Self-employed,56390.24008088674
41,43413.38003360396,343,7,PhD,Full-time,37580.406120362175
22,48063.47925213179,396,32,Bachelor,Part-time,66029.57836705536
69,40489.38911671301,526,11,Bachelor,Full-time,61388.6766993661
51,70313.73890126968,735,10,Bachelor,Part-time,73765.40489636177
23,37453.78916645392,678,4,Master,Full-time,52750.27122486373
39,75033.02942799649,477,26,Bachelor,Full-time,72918.90461941589
28,42660.53602239235,726,11,Bachelor,Part-time,65133.94680970105
65,59447.93285678716,606,16,Bachelor,Full-time,66724.3537389934
33,53328.302975257764,803,5,Master,Full-time,61279.51465644751
50,30480.403834166664,567,32,Master,Full-time,67976.29952392042
26,49602.20541018419,307,4,High School,Full-time,33826.07493474182
77,56672.870629011944,807,27,Master,Full-time,68499.7325093133
76,48714.14625779004,775,13,Bachelor,Full-time,67417.24807382522
23,23145.868829874318,596,4,Master,Self-employed,38301.380248410496
33,84028.58487052342,463,32,Bachelor,Full-time,88321.92545257145
46,51753.98965723472,784,18,Bachelor,Full-time,72822.91725122918
20,34113.948496729565,371,21,PhD,Full-time,43839.367451344064
37,82415.36046934548,537,4,High School,Full-time,55325.20737016305
77,62347.7961944065,403,1,Master,Self-employed,34623.73343300943
76,25996.600071967816,509,29,Bachelor,Full-time,64616.017100152676
53,29110.10507200243,767,38,Bachelor,Unemployed,86537.76834329816
36,45552.10560224315,753,3,Bachelor,Full-time,59104.82983621428
43,55946.13957699645,567,32,Bachelor,Part-time,73179.43291462612
20,62455.99662927844,685,12,Bachelor,Full-time,65156.83946992426
36,69003.56959057135,686,19,High School,Self-employed,67175.96190003824
37,60791.448128002856,558,6,High School,Full-time,55644.90834802443
49,76934.91957281991,582,14,High School,Full-time,68774.83177404659
24,52535.863193609395,339,22,PhD,Full-time,57189.78406322067
69,34807.212390435554,785,13,PhD,Full-time,62700.25887391537
58,49932.98260682053,519,22,Bachelor,Self-employed,65003.75923599012
50,48620.38679308416,428,18,Master,Full-time,62007.81157946823
57,-1564.3085932498361,819,28,Bachelor,Full-time,67055.23613681499
56,38772.66281808683,559,19,Bachelor,Part-time,59275.02476397647
35,56284.07465900901,665,28,Master,Full-time,72704.59090179566
57,41515.68869576428,843,23,PhD,Unemployed,73263.40180073763
18,37075.812763540016,823,17,Bachelor,Part-time,69761.81029452854
28,68227.52391609128,315,9,Master,Full-time,50737.924908336914
45,31669.08350449121,428,7,High School,Self-employed,36619.3209300895
74,64232.45300941646,408,25,PhD,Full-time,63490.15325626431
42,23345.110584234306,832,28,High School,Full-time,74569.10695274842
67,105215.23871452367,568,9,Bachelor,Full-time,66290.7882601355
40,45686.289461974855,461,16,Bachelor,Full-time,54230.744117136564
48,43534.694214078874,559,1,Bachelor,Part-time,34524.12003833044
47,72861.31805779837,401,5,High School,Self-employed,53313.09330067315
59,41625.90318387102,805,4,PhD,Full-time,53410.65946451401
52,79098.55616651333,546,27,High School,Full-time,81639.08427714469
24,57431.87660973053,836,4,Bachelor,Unemployed,56679.56999594978
77,47632.04198907541,430,17,High School,Full-time,56133.81324945371
33,45499.88193259249,652,25,Bachelor,Full-time,74609.68761885024
43,74151.84340860523,495,19,Bachelor,Full-time,67916.56338261104
65,54609.74429207006,681,26,Bachelor,Self-employed,71460.78067862206
74,58646.1746238154,526,11,High School,Full-time,56141.59333513501
69,60820.037452072575,775,6,High School,Part-time,57080.730311949825
77,52658.72370445382,776,2,Bachelor,Self-employed,55333.800835855225
66,60397.444526999665,564,9,Master,Full-time,60466.29886287653
19,47633.53154638019,671,33,Master,Full-time,84823.56909926776
18,49003.82736346848,785,24,High School,Self-employed,78027.06292174272
65,27617.70143946583,733,34,Bachelor,Full-time,74061.27755222554
79,55955.205018367946,510,15,High School,Part-time,60514.500066381355
29,15609.179865755592,676,1,High School,Self-employed,39579.660148216804
22,55671.16141221826,694,23,Bachelor,Part-time,62799.77043251336
54,44387.67967670371,749,9,Bachelor,Part-time,63679.4530345937
49,57491.70218901956,663,37,High School,Self-employed,87276.34648735741
76,29023.433318366482,756,21,High School,Self-employed,73519.2862354253
72,7612.85263922716,525,25,High School,Full-time,48057.50319755412
26,42982.69386052921,430,38,Master,Full-time,56511.28909217876
58,29081.746622858034,775,26,PhD,Full-time,74869.94327858333
52,14388.86633579035,576,28,High School,Part-time,62574.47828414697
36,65359.6653938914,455,37,High School,Full-time,70904.54148013516
65,82024.76454284081,517,19,Master,Part-time,64564.93163351921
33,34060.971284508996,489,26,PhD,Full-time,74444.38010395221
20,48484.58345557093,716,19,Bachelor,Part-time,67817.32196590226
37,43844.287666403754,845,18,High School,Full-time,77058.08118180222
41,36822.03156047594,340,19,High School,Part-time,43793.31033130086
71,63274.744277760416,606,34,Bachelor,Full-time,72830.90878906235
73,70202.82920857237,637,1,Bachelor,Full-time,53059.55752859218
50,32627.856214687916,613,29,High School,Full-time,68110.33406297585
41,50895.33734189807,374,33,Bachelor,Part-time,64969.210009227565
69,75690.66067867789,578,21,High School,Full-time,72033.99402607139
28,63780.724064299444,475,2,Master,Full-time,46205.55857751801
66,66753.94876800977,572,5,Bachelor,Unemployed,52875.5998741339
25,77359.70614884829,588,14,High School,Part-time,60287.88100491767
53,77096.903447465,571,26,Bachelor,Unemployed,80109.99499204919
55,70572.85260606132,365,9,Bachelor,Full-time,38674.99700520627
57,52898.74829562361,782,8,PhD,Full-time,52717.837202266084
37,42350.33965083816,547,32,Bachelor,Self-employed,75751.0043687593
79,52069.555306263705,455,31,High School,Full-time,71905.96795255589
52,39311.86627953263,346,5,Master,Part-time,33806.58305848961
65,10950.262539786352,753,35,High School,Full-time,68957.83623816054
79,44410.018683999195,500,1,PhD,Full-time,35783.45090182938
42,57150.524876744406,423,28,Bachelor,Full-time,64981.4237245908
52,38254.61164467642,300,3,Bachelor,Full-time,21496.91365053236
42,46144.40425522784,490,0,High School,Full-time,34648.17798645218
46,46919.265680665354,815,18,Bachelor,Full-time,76087.43139508301
35,77137.13548437777,741,25,Master,Unemployed,92327.6674667594
63,42811.254519501956,442,24,Master,Full-time,56846.202592557835
35,77132.66764366909,490,9,High School,Part-time,60422.24206468121
19,-4249.809836959474,832,14,High School,Self-employed,44754.75669597482
71,76957.11562658072,526,21,Master,Full-time,73684.39089354228
52,75948.12229725248,612,20,PhD,Full-time,69364.69461553835
33,68045.09346778384,601,21,High School,Part-time,73000.256123875
78,9761.63993592457,759,35,Bachelor,Part-time,74639.72988957883
58,70377.73990444961,700,33,Bachelor,Part-time,95715.39202025405
53,48997.61648649499,692,29,Master,Part-time,73927.10670424892
50,-586.7487984932013,506,24,High School,Unemployed,52262.00684826119
21,75963.55415669392,509,27,High School,Full-time,73841.5289305255
50,78883.46157097936,414,0,Master,Full-time,43573.511081245495
31,11909.758562696574,550,3,High School,Part-time,33153.658103012924
38,53508.42150600226,518,6,Bachelor,Full-time,43724.16092933011
65,77771.82242888365,706,8,Bachelor,Self-employed,66561.05189913174
37,74603.22626914294,742,35,Bachelor,Full-time,94167.72677013378
73,66721.22102319048,653,18,Bachelor,Full-time,71872.56754899079
25,-2945.0575979501737,849,0,Bachelor,Self-employed,41989.008449079265
24,64590.85533271628,441,9,High School,Full-time,54417.22934787606
20,45637.92203252114,800,35,Bachelor,Full-time,93308.9196899932
34,69917.15057436988,846,8,Master,Full-time,66022.02856317196
50,55123.229168676495,841,31,Master,Self-employed,93930.8312535568
65,49602.3677942227,806,31,High School,Full-time,80249.02820271754
29,62818.07698818472,580,5,High School,Self-employed,55784.70253714409
76,46561.73257856484,723,37,High School,Full-time,90217.21369708379
68,49514.45440216116,569,16,Bachelor,Part-time,49747.75186233583
39,38895.52001742476,453,9,Bachelor,Self-employed,43783.55223787448
72,17891.820176308753,382,26,Bachelor,Full-time,48125.06548609105
39,61357.06947542543,725,34,High School,Full-time,84863.29455295076
63,33879.3936065886,574,20,High School,Full-time,65618.0797354716
47,45984.16267918532,583,24,Bachelor,Part-time,63676.85310056849
55,55739.479169078666,472,27,Bachelor,Full-time,63289.95910513335
55,8295.64712869122,626,14,High School,Part-time,48167.16883863283
62,12773.02192646353,362,3,Bachelor,Full-time,28359.85530943114
68,44005.22846781594,372,28,High School,Full-time,59093.32561029415
71,59091.26964599312,674,8,Master,Full-time,65259.233622144195
